timestamp,open,high,low,close,volume
2020-08-07,214.8500,215.7000,210.9300,212.4800,27820421
2020-08-06,212.3400,216.3705,211.5500,216.3500,32656843
2020-08-05,214.9000,215.0000,211.5700,212.9400,28858621
2020-08-04,214.1700,214.7700,210.3100,213.2900,49280056
2020-08-03,211.5200,217.6400,210.4400,216.5400,78983009
2020-07-31,204.4000,205.1000,199.0100,205.0100,51247969
2020-07-30,201.0000,204.4600,199.5700,203.9000,25079596
2020-07-29,202.5000,204.6500,202.0100,204.0600,19632602
2020-07-28,203.6100,204.7000,201.7400,202.0200,23251388
2020-07-27,201.4700,203.9700,200.8600,203.8500,30160867
2020-07-24,200.4200,202.8600,197.5100,201.3000,39826989
2020-07-23,207.1900,210.9200,202.1500,202.5400,67457035
2020-07-22,209.2000,212.3000,208.3900,211.7500,49605692
2020-07-21,213.6600,213.9400,208.0300,208.7500,37702523
2020-07-20,205.0000,212.3000,203.0100,211.6000,36386080
2020-07-17,204.4700,205.0400,201.3900,202.8800,31636070
2020-07-16,205.4000,205.7000,202.3100,203.9200,29940718
2020-07-15,209.5600,211.3300,205.0300,208.0400,32248893
2020-07-14,206.1300,208.8500,202.0300,208.3500,37598121
2020-07-13,214.4800,215.8000,206.5000,207.0700,38135816
2020-07-10,213.6200,214.0800,211.0800,213.6700,26178663
2020-07-09,216.3300,216.3800,211.4700,214.3200,33122280
2020-07-08,210.0700,213.2600,208.6900,212.8300,33602226
2020-07-07,210.4500,214.6700,207.9900,208.2500,33600749
2020-07-06,208.8300,211.1300,208.0900,210.7000,32033747
2020-07-02,205.6800,208.0200,205.0000,206.2600,29322547
2020-07-01,203.1400,206.3500,201.7700,204.7000,32071431
2020-06-30,197.8800,204.4000,197.7400,203.5100,34310283
2020-06-29,195.7800,198.5300,193.5500,198.4400,26701586
2020-06-26,199.7300,199.8900,194.8800,196.3300,54675780
2020-06-25,197.8000,200.6100,195.4700,200.3400,27803933
